filename	analysis_alias	analysis_accession
aa6eea67-df15-4e83-a37a-5bc23152902a/analysis.aa6eea67-df15-4e83-a37a-5bc23152902a.GNOS.xml.gz.gpg	aa6eea67-df15-4e83-a37a-5bc23152902a	EGAZ00001225735
1ec7e42d-9c7a-4ebd-9cf6-cdc4954c3440/analysis.1ec7e42d-9c7a-4ebd-9cf6-cdc4954c3440.GNOS.xml.gz.gpg	1ec7e42d-9c7a-4ebd-9cf6-cdc4954c3440	EGAZ00001225810
2facb7d0-4ef7-4814-9610-2db699c98826/analysis.2facb7d0-4ef7-4814-9610-2db699c98826.GNOS.xml.gz.gpg	2facb7d0-4ef7-4814-9610-2db699c98826	EGAZ00001225794
9559eb82-6a27-47f1-b472-ab0e647fcdde/analysis.9559eb82-6a27-47f1-b472-ab0e647fcdde.GNOS.xml.gz.gpg	9559eb82-6a27-47f1-b472-ab0e647fcdde	EGAZ00001225675
a03340c5-1193-4685-b822-33b94133b509/analysis.a03340c5-1193-4685-b822-33b94133b509.GNOS.xml.gz.gpg	a03340c5-1193-4685-b822-33b94133b509	EGAZ00001223860
f6bfcc74-df22-4908-baad-62811f92418f/analysis.f6bfcc74-df22-4908-baad-62811f92418f.GNOS.xml.gz.gpg	f6bfcc74-df22-4908-baad-62811f92418f	EGAZ00001223904
4b7fb22a-093b-4c6a-af08-2cc7e0721351/analysis.4b7fb22a-093b-4c6a-af08-2cc7e0721351.GNOS.xml.gz.gpg	4b7fb22a-093b-4c6a-af08-2cc7e0721351	EGAZ00001223800
f0b67e07-45d2-4517-a741-ff2272b911c3/analysis.f0b67e07-45d2-4517-a741-ff2272b911c3.GNOS.xml.gz.gpg	f0b67e07-45d2-4517-a741-ff2272b911c3	EGAZ00001225750
b56219aa-4d39-426b-a5b5-75a24b8ba1db/analysis.b56219aa-4d39-426b-a5b5-75a24b8ba1db.GNOS.xml.gz.gpg	b56219aa-4d39-426b-a5b5-75a24b8ba1db	EGAZ00001225801
c962836a-ab76-41e7-a074-e43d1c207052/analysis.c962836a-ab76-41e7-a074-e43d1c207052.GNOS.xml.gz.gpg	c962836a-ab76-41e7-a074-e43d1c207052	EGAZ00001225749
45b50582-cbd6-4833-b923-227d56d69c84/analysis.45b50582-cbd6-4833-b923-227d56d69c84.GNOS.xml.gz.gpg	45b50582-cbd6-4833-b923-227d56d69c84	EGAZ00001223792
e4b86b90-35ed-4ab3-a932-668acabcb6ea/analysis.e4b86b90-35ed-4ab3-a932-668acabcb6ea.GNOS.xml.gz.gpg	e4b86b90-35ed-4ab3-a932-668acabcb6ea	EGAZ00001225717
8364fb99-c797-46b8-adef-911c735b5cf0/analysis.8364fb99-c797-46b8-adef-911c735b5cf0.GNOS.xml.gz.gpg	8364fb99-c797-46b8-adef-911c735b5cf0	EGAZ00001225789
fd279030-fdd5-4400-8e7b-0bd0dd1fc0b2/analysis.fd279030-fdd5-4400-8e7b-0bd0dd1fc0b2.GNOS.xml.gz.gpg	fd279030-fdd5-4400-8e7b-0bd0dd1fc0b2	EGAZ00001225805
b0d4e63b-54c0-41a5-a4d2-a9f22f27e8a7/analysis.b0d4e63b-54c0-41a5-a4d2-a9f22f27e8a7.GNOS.xml.gz.gpg	b0d4e63b-54c0-41a5-a4d2-a9f22f27e8a7	EGAZ00001225764
dd1d525f-2ed2-4ad3-b030-ce590d3c877a/analysis.dd1d525f-2ed2-4ad3-b030-ce590d3c877a.GNOS.xml.gz.gpg	dd1d525f-2ed2-4ad3-b030-ce590d3c877a	EGAZ00001223892
09d3f3cf-6de7-474b-856c-9e91f4181214/analysis.09d3f3cf-6de7-474b-856c-9e91f4181214.GNOS.xml.gz.gpg	09d3f3cf-6de7-474b-856c-9e91f4181214	EGAZ00001225765
4cedbb22-8c50-44e7-9ae1-11a0239bc0e1/analysis.4cedbb22-8c50-44e7-9ae1-11a0239bc0e1.GNOS.xml.gz.gpg	4cedbb22-8c50-44e7-9ae1-11a0239bc0e1	EGAZ00001223803
5fbcf00a-42a3-4640-a1e1-d0ed73750c20/analysis.5fbcf00a-42a3-4640-a1e1-d0ed73750c20.GNOS.xml.gz.gpg	5fbcf00a-42a3-4640-a1e1-d0ed73750c20	EGAZ00001223816
48377cdc-03c7-4d3e-b75d-b3fa2887d803/analysis.48377cdc-03c7-4d3e-b75d-b3fa2887d803.GNOS.xml.gz.gpg	48377cdc-03c7-4d3e-b75d-b3fa2887d803	EGAZ00001223798
6dbc58cf-d48d-4a75-9cce-d96c449f3fcc/analysis.6dbc58cf-d48d-4a75-9cce-d96c449f3fcc.GNOS.xml.gz.gpg	6dbc58cf-d48d-4a75-9cce-d96c449f3fcc	EGAZ00001223825
5e3b1bc4-cead-4c0d-b565-3533689c1e00/analysis.5e3b1bc4-cead-4c0d-b565-3533689c1e00.GNOS.xml.gz.gpg	5e3b1bc4-cead-4c0d-b565-3533689c1e00	EGAZ00001225832
ec4eee92-9022-4277-b1cd-6d6f3efb45d0/analysis.ec4eee92-9022-4277-b1cd-6d6f3efb45d0.GNOS.xml.gz.gpg	ec4eee92-9022-4277-b1cd-6d6f3efb45d0	EGAZ00001225800
454cd0a6-999e-454b-a746-e19e02c9a18f/analysis.454cd0a6-999e-454b-a746-e19e02c9a18f.GNOS.xml.gz.gpg	454cd0a6-999e-454b-a746-e19e02c9a18f	EGAZ00001225758
e44ba32b-e151-4c84-ab9e-ff5ae7f0a6ec/analysis.e44ba32b-e151-4c84-ab9e-ff5ae7f0a6ec.GNOS.xml.gz.gpg	e44ba32b-e151-4c84-ab9e-ff5ae7f0a6ec	EGAZ00001225703
7379f4db-63ee-465b-a5bb-d924892c03b3/analysis.7379f4db-63ee-465b-a5bb-d924892c03b3.GNOS.xml.gz.gpg	7379f4db-63ee-465b-a5bb-d924892c03b3	EGAZ00001225767
